"","wastewater","Air","pier","residential","Station","School","office","restaurant","Unknown","group","Env","city"
"CCIS02379307ST-4-0",0.0339547133919658,6.23335001924722e-16,6.81414533093794e-06,8.80098294276713e-06,2.39302040348503e-08,0.0292624054846232,0.013041575588425,1.08510447435837e-17,0.923725666476508,"CRC",0.0762743335234924,"paris"
"CCIS06260551ST-3-0",0.0942688808972501,0.0300101728273578,4.59201214764697e-09,2.17272462787421e-13,0.00576164441705318,0.107988610321964,0.0301724441487149,0.0331578986767087,0.698640344118722,"CRC",0.301359655881278,"paris"
"CCIS11015875ST-4-0",0.0655499651522179,0.000137609543233483,5.11923176906179e-05,5.95724327902531e-10,0.115862974477699,3.48438698174086e-09,0.251707256149889,0.0928780067310255,0.473812991548133,"CRC",0.526187008451867,"paris"
"CCIS12656533ST-4-0",0.304582886296955,4.7133349610461e-24,7.58409506531244e-05,7.78093926777126e-144,1.18416666636036e-266,0.0409294611475896,0.00021739303599225,0.0146694084328259,0.639525010135985,"CRC",0.360474989864016,"paris"
"CCIS14449628ST-4-0",0.122822681443116,0.0814190206106227,6.43232443252264e-05,4.38363844311273e-06,8.69601801432285e-05,0.0601237159620775,0.0687411205437861,0.00549016160292516,0.661247632774561,"CRC",0.338752367225439,"paris"
"CCIS15704761ST-4-0",0.0116140076739237,0.0457607445643987,0.0330789144433303,0.000129142068970874,0.0167206735258059,2.29472348816809e-06,0.000338779406027916,0.0671437258651886,0.825211717728866,"CRC",0.174788282271134,"paris"
"CCIS17669415ST-4-0",0.0594141213035368,1.1145431650974e-05,3.93281814186527e-09,1.27626919053589e-10,2.32668141211755e-07,0.0185893974600626,1.65876459258511e-13,0.00935213939194133,0.912632959684056,"CRC",0.0873670403159438,"paris"
"CCIS21278152ST-4-0",0.150933605047166,0.0356229528302297,5.63730742789873e-11,6.81166623610637e-24,5.38449424897474e-07,5.03507750954371e-05,0.161336521301844,1.85028119294176e-30,0.652056031539867,"CRC",0.347943968460133,"paris"
"CCIS22416007ST-4-0",0.0709782175692287,0.00691170338551049,1.79688209775788e-63,5.1402620274546e-43,4.81835034313347e-87,0.200015613647739,0.000219516440424073,4.70481096047688e-48,0.721874948957097,"CRC",0.278125051042902,"paris"
"CCIS22958137ST-20-0",0.0531552315378202,0.0875506487799764,1.46662044981835e-11,3.10542646983343e-06,4.51914445322876e-06,0.0511462764934441,0.0614181703172879,2.45726320210067e-10,0.746722048040156,"CRC",0.253277951959844,"paris"
"CCIS24254057ST-4-0",0.0402245696903297,0.00382435127279782,0.00920336837538742,1.81247556035517e-16,3.07371118951449e-08,0.127763595572281,0.000379251996503169,2.88085077254505e-17,0.818604832355588,"CRC",0.181395167644411,"paris"
"CCIS33816588ST-4-0",0.289949156284489,5.78930382389125e-54,0.0128418038459891,4.68019374334112e-41,5.47318910876336e-05,0.000534137414068231,7.74568355098173e-05,0.00814686916198612,0.68839584456687,"CRC",0.31160415543313,"paris"
"CCIS34055159ST-4-0",0.0623429002854662,0.00629318884706502,5.87692657019046e-07,4.9935194832504e-21,9.03302836067449e-14,0.142670767235694,0.0226547293012405,0.387627996668616,0.378409829969171,"CRC",0.621590170030829,"paris"
"CCIS35100175ST-4-0",0.0786993476699892,1.81474456875713e-30,0.000297512346503001,0.0230115122074887,1.15907744412079e-12,0.0692969287113016,9.30139028812678e-21,2.8131313478774e-55,0.828694699063558,"CRC",0.171305300936442,"paris"
"CCIS38765456ST-20-0",0.0903582585652502,0.0111623887942714,0.00492445672531262,1.06176764838282e-07,3.90767809315826e-08,4.7644583561206e-11,0.162838517049522,0.0102533348145624,0.720462898749891,"CRC",0.279537101250109,"paris"
"CCIS40244499ST-3-0",0.0559792079989887,0.0187907850712591,0.0225415860272013,1.42952091533638e-17,9.32450057661656e-36,0.000110832896123751,1.95093325825882e-34,4.40537944766256e-08,0.902577543952633,"CRC",0.0974224560473673,"paris"
"CCIS41222843ST-4-0",0.195667359867715,7.98439727618205e-319,0.0233121365851443,3.33863298696629e-162,8.54617948161903e-113,1.43880643732675e-42,0.00696795205047171,3.96966391367234e-315,0.774052551496669,"CRC",0.225947448503331,"paris"
"CCIS41288781ST-4-0",0.228091828810869,0.0239068726536465,0.0138668359204183,5.92546321422248e-17,0.0128619855316331,0.0341779352559543,0.126693343921988,0.0656316045473238,0.494769593358167,"CRC",0.505230406641833,"paris"
"CCIS79210440ST-3-0",0.117416932825501,0.000197198268409883,4.56588926306315e-06,5.00656869131364e-09,7.00017759989087e-08,0.0683896774233952,4.29149860280337e-06,0.019814472058791,0.794172787027693,"CTRL",0.205827212972308,"paris"
"CCIS80834637ST-4-0",0.135019717495172,0.0149164231400253,0.0106140107893229,5.57029388390706e-28,0.0167521095944472,6.12699108130962e-06,0.0207794690457833,3.05971936150546e-60,0.801912142944168,"CTRL",0.198087857055832,"paris"
"CCIS81139242ST-4-0",0.0203641653601711,1.4019121135347e-13,3.71872798814361e-13,2.36416710389217e-19,0.00178086791178212,0.00558066565854406,0.0327318471027812,1.19117831069945e-41,0.93954245396621,"CTRL",0.0604575460337905,"paris"
"CCIS82507866ST-3-0",0.0641324779205559,0.0102432604470296,0.0114149568437113,1.87052203109447e-05,8.49151834091887e-20,4.57077404477433e-11,0.0124746092842854,5.37833167898724e-20,0.901715990238399,"CTRL",0.0982840097616009,"paris"
"CCIS82944710ST-20-0",0.419138810050597,0.00812095347760274,0.014585333323789,6.73349923936994e-08,1.15388949710326e-15,3.82469947717666e-27,0.0119752953576102,2.27388464683704e-33,0.546179540455408,"CTRL",0.453820459544592,"paris"
"CCIS88007743ST-4-0",0.194702688392445,0.0101222505811236,0.0204794613790846,2.82062933206932e-17,8.40209765441604e-17,1.9305786881315e-05,0.0888943988069178,0.108925434178599,0.576856460874949,"CTRL",0.423143539125051,"paris"
"CCIS88317640ST-4-0",0.128428936192535,6.19165832316398e-21,2.14448351958238e-17,1.53147425853848e-05,2.37127749980529e-28,6.23224406278329e-32,0.0680553810960867,0.0772075903230922,0.726292777645701,"CTRL",0.273707222354299,"paris"
"CCIS90164298ST-4-0",0.248710529949096,0.0387430335935919,1.2579759264978e-29,2.57895381415665e-14,7.5314591514295e-106,0.114664645765779,5.99649976838954e-06,0.00474896816610511,0.593126826025634,"CTRL",0.406873173974366,"paris"
"CCIS93040568ST-20-0",0.0569003173883125,3.81175769048138e-10,0.013760077857977,0.000769772201733302,1.32857765955298e-08,7.99517174050484e-11,0.0179654273986501,2.63449103696899e-14,0.910604391406397,"CTRL",0.0893956085936033,"paris"
"CCIS94417875ST-3-0",0.223943650122122,6.14060569623413e-30,3.97919143311178e-14,3.08184626108368e-19,1.23826261815783e-10,0.0136148026833025,3.63260183543195e-14,8.77097738076433e-40,0.762441547070674,"CTRL",0.237558452929327,"paris"
"CCIS94603952ST-4-0",0.0646622977464653,1.53169286519783e-05,3.25468900843727e-09,2.20361805333824e-08,2.03742774399618e-05,5.40092700525029e-06,0.251421059723176,0.0864665327130951,0.597408992393297,"CTRL",0.402591007606703,"paris"
"CCIS95097901ST-4-0",0.203454107800008,3.96919476999493e-07,2.12392939215715e-14,4.77129662594852e-05,0.0231412105761056,0.0001950795130485,1.39856117030692e-05,0.0183247096444443,0.754822796968933,"CTRL",0.245177203031067,"paris"
"CCIS95409808ST-4-0",0.219639939883386,0.00559737803083589,0.00765525315608686,1.3766945356216e-05,1.8685546104538e-38,1.23546622003027e-10,0.13028077915742,0.00683683076928137,0.629976051934087,"CTRL",0.370023948065913,"paris"
"CCIS98482370ST-3-0",0.0779454544584499,0.0213569673209213,4.62274644691025e-10,6.56416485202897e-24,1.32504473677397e-05,7.37828420087552e-10,0.0148903540107367,2.73992545125875e-07,0.885793698569876,"CTRL",0.114206301430124,"paris"
"HmFeces_00001",0.0202250957631924,8.80966548955818e-09,0.0530278620213681,6.26309556691522e-05,0.000146516404591254,0.00548042544779332,0.0266470822010481,0.280991676034056,0.613418702362616,"CRC",0.386581297637384,"tokyo"
"HmFeces_10021",0.0826310825544914,3.44105571610298e-17,0.010217112613661,0.0182927633590958,0.0206550927103379,1.11692168739089e-15,7.22273187903337e-09,0.0123772232926249,0.855826718247056,"CRC",0.144173281752944,"tokyo"
"HmFeces_10030",0.12280143824342,2.46735981645423e-17,0.0133208755569371,5.77016049002211e-23,2.89452158371341e-05,3.68994042297977e-09,3.70505830263995e-07,0.191333499325903,0.672514867462132,"CRC",0.327485132537868,"tokyo"
"HmFeces_10059",0.205929900410685,2.18677185395191e-06,0.00579523099827965,0.000149423401457102,3.58999122207354e-07,0.00738633810138487,3.03017262220054e-07,0.0297173086252042,0.751018949674751,"CRC",0.248981050325249,"tokyo"
"HmFeces_10067",0.126808794466649,5.4948940746219e-06,0.0110663910667991,4.77264637373294e-09,3.20324053159653e-28,1.42579622050501e-11,4.75087025624416e-12,3.67124338915857e-08,0.862119278068389,"CRC",0.137880721931612,"tokyo"
"HmFeces_10073",0.0482279586731031,1.48273114479875e-14,1.63330142951353e-24,1.37382075281441e-21,0.0293477189224097,2.10942587041228e-07,0.147789308293568,4.38386783863772e-31,0.774634803168317,"CRC",0.225365196831683,"tokyo"
"HmFeces_10074",0.0306445406918612,1.13259663210822e-05,0.0156801696243657,1.45333564147456e-09,2.93877282019202e-09,0.0182561748415694,4.24184501623787e-14,0.0113520188430002,0.924055765640732,"CRC",0.0759442343592685,"tokyo"
"HmFeces_10091",0.102972652094936,2.67123537313781e-177,0.00430539745512492,5.62985837164144e-171,3.29275498985851e-63,7.1870475650583e-06,0.000166171649066975,0,0.892548591753307,"CRC",0.107451408246693,"tokyo"
"HmFeces_10097",0.140809613115116,4.45341237223299e-19,0.00378654090601768,5.51150890011534e-20,1.82894272381207e-22,3.73387028434804e-06,5.65624881970122e-11,7.4562387289486e-23,0.855400112052019,"CRC",0.144599887947981,"tokyo"
"HmFeces_10099",0.230132383023452,0.00478328991833986,7.56661668826639e-55,9.23081790150375e-23,3.67862140009246e-17,1.58905548629409e-50,6.18593756404084e-17,2.45667565454788e-15,0.765084327058205,"CRC",0.234915672941794,"tokyo"
"HmFeces_10103",0.168190828014167,0.00543054151367694,5.14585371215457e-30,0.019794052802455,8.97437490775612e-11,1.056729129653e-06,2.87640313012815e-05,4.80468002939815e-33,0.806554756819526,"CRC",0.193445243180474,"tokyo"
"HmFeces_10118",0.0175933786682338,1.28770432545288e-22,1.25612557783401e-15,7.01720552433406e-11,0.075818793688123,0.000221351247367231,0.0214518765264635,0.0187148195667263,0.866199780232913,"CRC",0.133800219767087,"tokyo"
"HmFeces_10119",0.0458243578418245,0.000176027529587789,1.59269116536055e-07,0.000367212543710731,0.0660993766460756,0.0367172413921197,0.0386165776265734,0.251953437237515,0.560245609913477,"CRC",0.439754390086523,"tokyo"
"HmFeces_10124",0.11235221950568,1.12810448494069e-11,3.18493184939017e-05,0.00014236517015104,0.00246902930288075,0.0299065447334176,0.052554420931873,0.236681130390407,0.565862440635816,"CRC",0.434137559364184,"tokyo"
"HmFeces_10126",0.106734998965064,1.64196633330763e-13,4.50970296563263e-12,2.88506900554258e-09,2.67948276391138e-09,0.0617210663845761,1.0247326011624e-05,0.0468336863535557,0.784699995401567,"CRC",0.215300004598433,"tokyo"
"HmFeces_10147",0.179986225211492,2.106036843868e-14,2.18927834825172e-09,3.07027500277631e-11,6.36991093361885e-07,1.92174334302542e-06,2.17251153819366e-05,1.18182088259499e-17,0.819989488718688,"CRC",0.180010511281312,"tokyo"
"HmFeces_10152",0.134358760841043,1.07370736942662e-10,1.81888065270133e-15,0.000226942258681575,8.89512869431174e-09,0.0136700501171042,0.0937980082985203,0.0372088842387594,0.720737345243391,"CRC",0.27926265475661,"tokyo"
"HmFeces_10168",0.144903141972909,0.0139096146894584,0.0233877219244315,7.79606394982689e-28,0.0580270908697709,0.0792829337350287,1.39612685252185e-16,0.0705936316295683,0.609895865178833,"CRC",0.390104134821167,"tokyo"
"HmFeces_10171",0.0394419891783812,0.00701466296215726,0.00419867833182424,6.88209548258843e-07,7.13030888997003e-07,0.00742717196225942,0.362096594550129,9.72309855002871e-16,0.579819501774811,"CRC",0.420180498225189,"tokyo"
