"","ID","host","ARG","slt","pos.1","neg.1","pos.ctrl.1","neg.ctrl.1","OR.odds ratio.1","OR.estimate.1","OR.lower.1","OR.upper.1","Pval.1","type.1","pos.2","neg.2","pos.ctrl.2","neg.ctrl.2","OR.odds ratio.2","OR.estimate.2","OR.lower.2","OR.upper.2","Pval.2","type.2","OR.estimate","OR.lower","OR.upper"
"s__Escherichia_coli;ACRB","s__Escherichia_coli;ACRB","s__Escherichia_coli","ACRB",TRUE,"215","533","212","645","1.22709133425389","1.22725583206485","0.983224218458519","1.53185494118373","0.0396941273744659","shr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22725583206485,0.983224218458519,1.53185494118373
"s__Klebsiella_pneumoniae;ACRB","s__Klebsiella_pneumoniae;ACRB","s__Klebsiella_pneumoniae","ACRB",TRUE,"81","667","73","784","1.30399870814205","1.30422460002875","0.93508454464509","1.81908878406901","0.0691732014784305","shr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30422460002875,0.93508454464509,1.81908878406901
"s__Bilophila_wadsworthia;EMRB","s__Bilophila_wadsworthia;EMRB","s__Bilophila_wadsworthia","EMRB",TRUE,"179","569","123","734","1.87657746194156","1.8772914969923","1.45573882429504","2.42091734167097","6.71370092117941e-07","shr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8772914969923,1.45573882429504,2.42091734167097
"s__Escherichia_coli;EMRB","s__Escherichia_coli;EMRB","s__Escherichia_coli","EMRB",TRUE,"195","553","194","663","1.20494888449661","1.205094983315","0.958863861458847","1.5145569430487","0.0615675081616734","shr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.205094983315,0.958863861458847,1.5145569430487
"s__Escherichia_coli;EMRD","s__Escherichia_coli;EMRD","s__Escherichia_coli","EMRD",TRUE,"200","548","189","668","1.28970642621566","1.28992391766114","1.02624483139317","1.62135161362562","0.0168007913402767","shr","36","712","26","831","1.61552908288626","1.61603284356093","0.966285740352455","2.70268104185731","0.0432708292562029","shr",1.28992391766114,1.02624483139317,1.62135161362562
"s__Escherichia_coli;MACA","s__Escherichia_coli;MACA","s__Escherichia_coli","MACA",TRUE,"186","562","172","685","1.31782907300186","1.31807084333361","1.04157358095259","1.66796737150081","0.0125218557940207","shr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31807084333361,1.04157358095259,1.66796737150081
"s__Escherichia_coli;MDTB","s__Escherichia_coli;MDTB","s__Escherichia_coli","MDTB",TRUE,"199","549","183","674","1.33476802061809","1.33502543123613","1.06051035453889","1.68059924584343","0.00811959801634468","shr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33502543123613,1.06051035453889,1.68059924584343
"s__Escherichia_coli;MDTC","s__Escherichia_coli;MDTC","s__Escherichia_coli","MDTC",TRUE,"197","551","182","675","1.32576139913989","1.32601064996709","1.05271542722955","1.67025598594439","0.00966270405765426","shr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32601064996709,1.05271542722955,1.67025598594439
"s__Klebsiella_pneumoniae;MDTC","s__Klebsiella_pneumoniae;MDTC","s__Klebsiella_pneumoniae","MDTC",TRUE,"69","679","52","805","1.57268848211208","1.57315622521808","1.08214899126616","2.28694988297938","0.0109275840193915","shr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57315622521808,1.08214899126616,2.28694988297938
"s__Escherichia_coli;MDTF","s__Escherichia_coli;MDTF","s__Escherichia_coli","MDTF",TRUE,"192","556","188","669","1.22867277468518","1.22883820603092","0.975946011771724","1.5472611377959","0.0450825848386637","shr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22883820603092,0.975946011771724,1.5472611377959
"s__Escherichia_coli;MDTK","s__Escherichia_coli;MDTK","s__Escherichia_coli","MDTK",TRUE,"178","570","165","692","1.30945225510456","1.30968633705476","1.03119653632901","1.66338640699297","0.0156816915579578","shr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30968633705476,1.03119653632901,1.66338640699297
"s__Klebsiella_pneumoniae;MDTK","s__Klebsiella_pneumoniae;MDTK","s__Klebsiella_pneumoniae","MDTK",TRUE,"75","673","67","790","1.31377544473295","1.3140094475616","0.93047309822377","1.85563755854648","0.0714281148399557","shr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3140094475616,0.93047309822377,1.85563755854648
