"","Sample","# ARG","# mobileARG_2","Stage","val"
"CCIS02379307ST-4-0","CCIS02379307ST-4-0",40,5,"CRC",5
"CCIS06260551ST-3-0","CCIS06260551ST-3-0",130,4,"CRC",4
"CCIS11015875ST-4-0","CCIS11015875ST-4-0",152,12,"CRC",12
"CCIS12656533ST-4-0","CCIS12656533ST-4-0",108,8,"CRC",8
"CCIS14449628ST-4-0","CCIS14449628ST-4-0",105,1,"CRC",1
"CCIS15704761ST-4-0","CCIS15704761ST-4-0",147,1,"CRC",1
"CCIS17669415ST-4-0","CCIS17669415ST-4-0",121,8,"CRC",8
"CCIS21278152ST-4-0","CCIS21278152ST-4-0",139,10,"CRC",10
"CCIS22416007ST-4-0","CCIS22416007ST-4-0",82,10,"CRC",10
"CCIS22958137ST-20-0","CCIS22958137ST-20-0",167,1,"CRC",1
"CCIS24254057ST-4-0","CCIS24254057ST-4-0",107,4,"CRC",4
"CCIS33816588ST-4-0","CCIS33816588ST-4-0",119,6,"CRC",6
"CCIS34055159ST-4-0","CCIS34055159ST-4-0",147,6,"CRC",6
"CCIS35100175ST-4-0","CCIS35100175ST-4-0",94,9,"CRC",9
"CCIS38765456ST-20-0","CCIS38765456ST-20-0",204,12,"CRC",12
"CCIS40244499ST-3-0","CCIS40244499ST-3-0",62,3,"CRC",3
"CCIS41222843ST-4-0","CCIS41222843ST-4-0",107,6,"CRC",6
"CCIS41288781ST-4-0","CCIS41288781ST-4-0",148,9,"CRC",9
"CCIS41548810ST-4-0","CCIS41548810ST-4-0",74,4,"CRC",4
"CCIS44757994ST-4-0","CCIS44757994ST-4-0",161,22,"CRC",22
"CCIS46047672ST-4-0","CCIS46047672ST-4-0",130,5,"CRC",5
"CCIS46467422ST-4-0","CCIS46467422ST-4-0",32,5,"CRC",5
"CCIS47284573ST-4-0","CCIS47284573ST-4-0",81,5,"CRC",5
"CCIS48725289ST-4-0","CCIS48725289ST-4-0",62,3,"CRC",3
"CCIS50148151ST-4-0","CCIS50148151ST-4-0",72,3,"CRC",3
"CCIS52370277ST-4-0","CCIS52370277ST-4-0",152,9,"CRC",9
"CCIS53043478ST-4-0","CCIS53043478ST-4-0",68,1,"CRC",1
"CCIS53355328ST-4-0","CCIS53355328ST-4-0",81,6,"CRC",6
